Nose,Left Wrist,Right Wrist,Left Elbow,Right Elbow,Left Hip,Right Hip,Left Knee,Right Knee
361142,397342,371122,369006,352409,295978,292777,253815,250674
363828,410971,375477,382013,353650,302531,295537,258103,252440
364078,414882,340176,383821,336230,302871,293530,265059,252068
0,401672,369599,367798,335589,300547,288670,250720,241763
363650,415807,280897,386146,312423,310036,298411,270364,255316
363188,414674,289861,385478,309664,311107,295133,260751,247307
365612,417225,292843,392170,312367,314628,297881,264796,251560
282055,402108,189198,366998,243147,348587,316750,361998,279278
366143,411613,297274,391585,316146,331728,311709,284564,256697
281316,402762,190337,366745,244033,338101,310259,299284,256557
281803,401019,182055,360881,239221,323893,299837,274509,240507
280646,400196,186249,363314,240515,343811,310333,342492,258273
0,398888,0,363413,0,311667,297113,256344,248802
373877,367138,342084,362298,337564,313725,302659,262589,254974
308468,398043,0,362571,0,314707,297350,257942,250860
317972,403954,0,371910,0,318242,291795,264864,231180
314623,399505,192886,364577,248934,314856,295948,264387,252021
302188,400759,183735,364521,239251,318762,295574,275049,249216
374259,370900,377024,353498,356785,294698,289484,256413,250621
308079,401969,189068,368254,245810,314683,294471,261989,252252
376480,381302,379884,358859,358111,299170,295303,257726,251781
0,402089,0,367376,0,301170,283626,248827,239117
377341,407139,384487,373478,363047,298696,294438,255925,251785
0,403478,0,371068,323643,302714,292307,256148,249970
0,405018,334501,373627,323057,296615,285157,251445,239094
380903,418831,400108,389626,372778,304304,296714,261062,255785
0,403586,347536,372298,332305,293374,284067,248678,238958
0,403746,0,370256,0,298204,285238,249440,238908
369962,417910,419952,387630,390205,301748,298749,263429,262433
0,404906,337201,375503,327884,304818,296238,261682,253763
368192,417125,421340,387527,393989,301244,299717,262361,263509
354621,408363,271303,376306,296081,301457,287141,258842,241177
356113,410765,267788,379766,292551,301437,289376,254602,244861
0,420018,427600,386625,396943,305978,304408,275270,273252
355928,411160,344250,379084,334131,298677,288958,254668,244179
358418,411470,365002,380106,344587,297840,289673,252907,244629
360237,0,332507,0,325334,294529,287681,249734,240253
350934,418046,429504,379828,396875,297505,300270,274784,277607
361142,397342,371122,369006,352409,295978,292777,253815,250674
351933,415988,434560,384693,400204,303878,302316,277436,276192
364119,414205,432979,395901,403244,331832,326869,284932,288635
